"";"Longitude";"Latitude";"variable";"obs";"sim";"var"
"65";453641.638;5494684.71;NA;"SAND";62.2;NA
"66";453626.827;5494587.949;NA;"SAND";59.1;NA
"67";453809.489;5494685.698;NA;"SILT";23.2;NA
"68";453757.488;5494631.064;NA;"SILT";22.6;NA
"69";453698.246;5494631.064;NA;"SILT";25.3;NA
"70";453843.718;5494618.228;NA;"SILT";26.9;NA
"71";453641.638;5494684.71;NA;"SILT";22.8;NA
"72";453626.827;5494587.949;NA;"SILT";24.1;NA
"73";453809.489;5494685.698;NA;NA;14.2;NA
"74";453757.488;5494631.064;NA;NA;17.8;NA
"75";453698.246;5494631.064;NA;NA;15.4;NA
"76";453843.718;5494618.228;NA;NA;14.8;NA
"77";453641.638;5494684.71;NA;NA;15;NA
"78";453626.827;5494587.949;NA;NA;16.9;NA
"79";453809.489;5494685.698;NA;NA;62.6;NA
"80";453757.488;5494631.064;NA;NA;59.6;NA
"81";453698.246;5494631.064;NA;NA;59.3;NA
"82";453843.718;5494618.228;NA;NA;58.3;NA
"83";453641.638;5494684.71;NA;NA;62.2;NA
"84";453626.827;5494587.949;NA;NA;59.1;NA
"85";453809.489;5494685.698;NA;NA;23.2;NA
"86";453757.488;5494631.064;NA;NA;22.6;NA
"87";453698.246;5494631.064;NA;NA;25.3;NA
"88";453843.718;5494618.228;NA;NA;26.9;NA
"89";453641.638;5494684.71;NA;NA;22.8;NA
"90";453626.827;5494587.949;NA;NA;24.1;NA
"91";453809.489;5494685.698;NA;NA;14.2;NA
"92";453757.488;5494631.064;NA;NA;17.8;NA
"93";453698.246;5494631.064;NA;NA;15.4;NA
"94";453843.718;5494618.228;NA;NA;14.8;NA
"95";453641.638;5494684.71;NA;NA;15;NA
"96";453626.827;5494587.949;NA;NA;16.9;NA
"97";453809.489;5494685.698;NA;NA;62.6;NA
"98";453757.488;5494631.064;NA;NA;59.6;NA
"99";453698.246;5494631.064;NA;NA;59.3;NA
"100";453843.718;5494618.228;NA;NA;58.3;NA
"101";453641.638;5494684.71;NA;NA;62.2;NA
"102";453626.827;5494587.949;NA;NA;59.1;NA
"103";453809.489;5494685.698;NA;NA;23.2;NA
"104";453757.488;5494631.064;NA;NA;22.6;NA
"105";453698.246;5494631.064;NA;NA;25.3;NA
"106";453843.718;5494618.228;NA;NA;26.9;NA
"107";453641.638;5494684.71;NA;NA;22.8;NA
"108";453626.827;5494587.949;NA;NA;24.1;NA
"109";453809.489;5494685.698;NA;NA;14.2;NA
"110";453757.488;5494631.064;NA;NA;17.8;NA
"111";453698.246;5494631.064;NA;NA;15.4;NA
"112";453843.718;5494618.228;NA;NA;14.8;NA
"113";453641.638;5494684.71;NA;NA;15;NA
"114";453626.827;5494587.949;NA;NA;16.9;NA
"115";453809.489;5494685.698;NA;NA;62.6;NA
"116";453757.488;5494631.064;NA;NA;59.6;NA
"117";453698.246;5494631.064;NA;NA;59.3;NA
"118";453843.718;5494618.228;NA;NA;58.3;NA
"119";453641.638;5494684.71;NA;NA;62.2;NA
"120";453626.827;5494587.949;NA;NA;59.1;NA
"121";453809.489;5494685.698;NA;NA;23.2;NA
"122";453757.488;5494631.064;NA;NA;22.6;NA
"123";453698.246;5494631.064;NA;NA;25.3;NA
"124";453843.718;5494618.228;NA;NA;26.9;NA
"125";453641.638;5494684.71;NA;NA;22.8;NA
"126";453626.827;5494587.949;NA;NA;24.1;NA
"127";453809.489;5494685.698;NA;NA;14.2;NA
"128";453757.488;5494631.064;NA;NA;17.8;NA
"129";453698.246;5494631.064;NA;NA;15.4;NA
"130";453843.718;5494618.228;NA;NA;14.8;NA
"131";453641.638;5494684.71;NA;NA;15;NA
"132";453626.827;5494587.949;NA;NA;16.9;NA
"133";453809.489;5494685.698;NA;NA;62.6;NA
"134";453757.488;5494631.064;NA;NA;59.6;NA
"135";453698.246;5494631.064;NA;NA;59.3;NA
"136";453843.718;5494618.228;NA;NA;58.3;NA
"137";453641.638;5494684.71;NA;NA;62.2;NA
"138";453626.827;5494587.949;NA;NA;59.1;NA
"139";453809.489;5494685.698;NA;NA;23.2;NA
"140";453757.488;5494631.064;NA;NA;22.6;NA
"141";453698.246;5494631.064;NA;NA;25.3;NA
"142";453843.718;5494618.228;NA;NA;26.9;NA
"143";453641.638;5494684.71;NA;NA;22.8;NA
"144";453626.827;5494587.949;NA;NA;24.1;NA
"145";453809.489;5494685.698;NA;NA;14.2;NA
"146";453757.488;5494631.064;NA;NA;17.8;NA
"147";453698.246;5494631.064;NA;NA;15.4;NA
"148";453843.718;5494618.228;NA;NA;14.8;NA
"149";453641.638;5494684.71;NA;NA;15;NA
"150";453626.827;5494587.949;NA;NA;16.9;NA
"151";453809.489;5494685.698;NA;NA;62.6;NA
"152";453757.488;5494631.064;NA;NA;59.6;NA
"153";453698.246;5494631.064;NA;NA;59.3;NA
"154";453843.718;5494618.228;NA;NA;58.3;NA
"155";453641.638;5494684.71;NA;NA;62.2;NA
"156";453626.827;5494587.949;NA;NA;59.1;NA
"157";453809.489;5494685.698;NA;NA;23.2;NA
"158";453757.488;5494631.064;NA;NA;22.6;NA
"159";453698.246;5494631.064;NA;NA;25.3;NA
"160";453843.718;5494618.228;NA;NA;26.9;NA
"161";453641.638;5494684.71;NA;NA;22.8;NA
"162";453626.827;5494587.949;NA;NA;24.1;NA
